Category,SKU,Title,MSRP,MAP,Current Price,Has speakeasy,Has mapp rules,Problems
MSRP!=MAP (extra tags/price),CP154,"Marvel: Crisis Protocol - Iron Lad, Iron Monger, Kang The Conqueror & Rescue",59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP191,"Marvel: Crisis Protocol – Adam Warlock, Moondragon & Quasar",59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP218,Marvel: Crisis Protocol - Inhumans Affiliation Pack,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP224,Marvel: Crisis Protocol - X-Force Affiliation Pack,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP226,Marvel: Crisis Protocol - Xavier's Students Affiliation Pack,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP236,Marvel: Crisis Protocol - Sentinels Affiliation Pack,74.99,59.99,59.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CP94,Marvel: Crisis Protocol - Valkrie in Elendil & Warriors Three,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ01,Star Wars: Legion - Rebel Alliance Starter Set,99.99,79.99,79.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ02,Star Wars: Legion - Galactic Empire Starter Set,99.99,79.99,79.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ10,Star Wars Legion: AT-ST Walker,59.99,47.99,59.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ102,Star Wars: Legion - 3D Objective Tokens,44.99,35.99,44.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ11,Star Wars: Legion - Stormtroopers,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ12,Star Wars: Legion - Scout Troopers,52.99,42.39,42.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ138,Star Wars: Legion - Outer Rim Outlaws,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ139,Star Wars: Legion - IG-Series Assassin Droids,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ142,Star Wars: Legion – R2D2 & C-3PO,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ15,Star Wars: Legion - Rebel Troopers,54.99,43.99,54.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ151,Star Wars: Legion - Battle Deck Card Pack II,28.99,23.19,23.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ16,Star Wars: Legion - Rebel Commandos,52.99,42.39,42.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ17,Star Wars: Legion – T-47 Airspeeder,39.99,31.99,39.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ18,Star Wars: Legion -Kashyyyk Wookie Warriors,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ198,Star Wars: Legion - Republic AT-RT,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ199,Star Wars: Legion – Imperial Shoretroopers,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ20,Star Wars: Legion - Customizable Jedi General and Knight,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ21,Star Wars: Legion – Heroes of the Clone Army,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ22,Star Wars: Legion - Commander & Padawan Ahsoka Tano,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ23,Star Wars: Legion - Clone Trooper Marksman,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ24,Star Wars: Legion -Clone Troopers Infantry,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ27,Star Wars: Legion - TX-130 Saber Tank,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ28,Star Wars: Legion - Separatist Alliance Starter Set,99.99,79.99,79.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ29,Star Wars: Legion - Customizable Super Tactical Command Droid,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ30,Star Wars: Legion - B1 Battle Droids Rerelease,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ31,Star Wars: Legion -General Grevious' TSMEU-6 Wheel Bike,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ32,Star Wars: Legion - TSMEU-6 Personal Wheel Bike - Damaged Box,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ35,Star Wars: Legion - B2 Super Battle Droids,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ36,Star Wars: Legion - Droidekas,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ37,Star Wars: Legion - Geonosian Warriors Unit Expansion,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ38,Star Wars: Legion - Super Tactical Droid Commanders,34.99,27.99,27.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ41,Star Wars: Legion - Captain Solo & Commander Skywalker on Tauntuns,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ42,Star Wars: Legion - Imperial High Command,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ45,Star Wars: Legion – Hondo Ohnaka & Weequay Pirates,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ52,Star Wars: Legion - BX-Series Droid Commandos,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ53,Star Wars: Legion - Imperial Special Forces,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ58,Star Wars: Legion - IG-100 MagnaGuards,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ61,Star Wars: Legion - DSD1 Dwarf Spider Droids,29.99,23.99,23.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ63,Star Wars: Legion – Dark Troopers,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ72,Star Wars: Legion - Clone Commander Cody,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ73,Star Wars: Legion – Ewok Warriors,49.99,39.99,49.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),SWQ89,Star Wars: Legion - Range Troopers,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),SWQ92,Star Wars: Legion -A-A5 Speeder Truck,74.99,59.99,59.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),GC-ENG-CBN-K,Grimcoven Small Box (CB+SG),119.99,95.99,95.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),FS5501,Sanctuary: An Ark Nova Game,59.99,47.99,44.79,False,False,price_wrong
MSRP!=MAP (extra tags/price),CAPGMAMAM1,Map Masters,41.99,33.59,33.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3081,CATAN® – The Game,49.99,39.99,43.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),CN3082,CATAN® – 5-6 Player Expansion,24.99,19.99,23.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),CN3083,CATAN® – Seafarers Expansion,55.99,44.79,44.79,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3084,CATAN® – Seafarers 5-6 Player Expansion,33.99,27.19,27.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3085,CATAN - Explorers & Pirates Expansion,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3086,Catan Ext: Explorers and Pirates 5-6 Player  - 6th Edition,37.99,30.39,30.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3087,CATAN® – Cities & Knights Expansion,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3088,CATAN® – Cities & Knights 5-6 Player Expansion,35.99,28.79,28.79,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3089,CATAN - Traders and Barbarians New Edition,64.99,51.99,51.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3090,CATAN - Traders and Barbarians 5-6 Player New Edition,37.99,30.39,30.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3105,CATAN - Zip!,24.99,19.99,19.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3143,CATAN – On The Road,9.99,7.99,7.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3281,CATAN® – Base Game Card Accessory™,14.99,11.99,11.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CN3282,CATAN® – Cities & Knights Cards Accessory™,14.99,11.99,14.99,True,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),CN3283,Catan: Traders and Barbarians Game Cards Accessory - New,14.99,11.99,11.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),CLT001,Collect!,15.99,12.79,12.79,True,True,extra_tags
MSRP!=MAP (extra tags/price),HOTSTREAK00,Hot Streak,44.99,39.99,44.99,False,False,price_wrong
MSRP!=MAP (extra tags/price),MONFE00,Monikers: Family Edition,29.99,26.99,23.99,False,False,price_wrong
MSRP!=MAP (extra tags/price),QUACKSREV,Quacks,44.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),QUACKSREV-ALL,Quacks - All in Edition,109.99,98.99,98.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),QUACKSREV-DEL,Quacks - Deluxe Edition,64.99,58.49,58.49,True,True,extra_tags
MSRP!=MAP (extra tags/price),WAV01,Wavelength,38.99,34.99,35.09,False,False,price_wrong
MSRP!=MAP (extra tags/price),DOW720037,Ticket to Ride - Northern Lights,54.99,43.99,43.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOW7201N,Ticket to Ride Refresh,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOW7301N,Memoir '44 Refresh,69.99,55.99,55.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOW9103,Heat: Tunnel Vision,37.99,30.39,30.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOW9104,Heat: Rocky Roads,37.99,30.39,30.39,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOWSWB0101EN,Star Wars: Battle Of Hoth,59.99,47.99,47.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOT10000,Monkey Palace,41.99,33.59,33.59,True,True,extra_tags
MSRP!=MAP (extra tags/price),DOTGM2-01-01EN,Brick Like This,19.99,15.99,15.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),ESDAK01EN,Dungeons And Kittens RPG Starter Set,39.99,31.99,31.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),ESDAK02EN,Dungeons And Kittens RPG Core Rulebook,49.99,39.99,39.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),ESDPSAH04EN,Arkham Horror RPG - Terra Antartica,59.99,47.99,59.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),AHC100EN,Arkham Horror: The Card Game Core Set - Chapter Two Edition,69.99,55.99,69.99,False,True,price_wrong;extra_tags
MSRP!=MAP (extra tags/price),AHC101EN,Arkham Horror: The Card Game - Tommy Muldoon Investigator Deck,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),AHC102EN,Arkham Horror: The Card Game - Carolyn Fern Investigator Deck,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),AHC103EN,Arkham Horror: The Card Game - André Patel Investigator Deck,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),AHC104EN,Arkham Horror: The Card Game - Marie Lambeau Investigator Deck,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),AHC105EN,Arkham Horror: The Card Game - Miguel De La Cruz Investigator Deck,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),AHC84EN,Arkham Horror: The Card Game – The Drowned City Campaign Expansion,74.99,59.99,59.99,True,True,extra_tags
MSRP!=MAP (extra tags/price),AHC85EN,AH LCG: Film Fatale Scenario Pack,23.99,19.19,19.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),MC51EN,Marvel Champions: The Card Game –Black Panther Hero Pack,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),MC52EN,Marvel Champions: The Card Game –Silk Hero Pack,18.99,15.19,15.19,True,True,extra_tags
MSRP!=MAP (extra tags/price),MC53EN,Marvel Champions: The Card Game - Falcon Hero Pack,18.99,15.19,15.19,True,True,extra_tags
